65.01	59.39	67.45	63.98	63.70
64.17	59.34	62.56	62.91	61.98
63.96	59.28	62.43	61.19	60.86
63.90	58.92	62.11	60.01	59.94
63.11	58.38	61.38	59.36	59.66
62.05	58.06	61.33	58.65	59.34
59.95	58.05	60.83	58.54	58.90
59.81	57.99	60.71	58.17	58.49
59.42	57.91	60.52	58.12	58.12
58.61	57.49	60.52	58.09	58.06
58.46	57.35	60.40	57.89	57.88
58.29	57.35	60.13	57.79	57.83
58.19	57.21	59.53	57.11	57.18
57.94	57.09	59.00	57.04	57.07
57.74	56.91	58.97	56.70	56.94
57.73	56.77	58.96	56.69	56.83
57.62	56.52	58.79	56.54	56.53
57.44	56.50	58.17	56.51	56.51
57.26	56.47	58.02	56.02	56.29
56.99	56.35	57.96	55.77	56.20
56.45	56.26	57.91	55.65	56.14
56.23	56.23	57.73	55.50	56.12
55.80	56.15	57.41	55.39	55.81
55.73	55.83	57.33	55.26	55.73
55.43	55.82	57.32	55.22	55.47
55.33	55.80	57.28	55.14	55.28
55.29	55.58	57.13	55.05	55.23
55.20	55.53	57.13	55.04	55.02
55.10	55.43	57.01	54.99	54.95
54.98	55.43	56.94	54.88	54.89
54.92	55.21	56.88	54.86	54.80
54.83	55.06	56.85	54.70	54.63
54.80	54.97	56.80	54.65	54.61
54.61	54.91	56.57	54.60	54.48
54.44	54.85	56.53	54.34	54.28
54.42	54.76	56.52	54.33	54.26
54.42	54.73	56.48	54.15	54.05
54.35	54.59	56.44	54.08	54.00
54.30	54.54	56.32	54.06	53.99
54.27	54.46	56.25	54.02	53.94
54.22	54.43	56.19	53.99	53.86
54.17	54.39	56.08	53.90	53.80
54.03	54.30	56.02	53.86	53.66
53.93	54.08	55.94	53.77	53.56
53.79	53.88	55.91	53.67	53.49
53.66	53.85	55.87	53.62	53.41
53.64	53.76	55.84	53.60	53.36
53.59	53.64	55.71	53.40	53.15
53.39	53.34	55.64	53.36	53.08
53.27	53.33	55.63	53.33	53.03
53.27	53.32	55.63	53.20	52.99
53.26	53.28	55.59	53.19	52.96
53.15	53.16	55.53	53.16	52.88
53.04	53.12	55.45	53.12	52.81
52.92	53.12	55.39	53.06	52.75
52.89	53.01	55.31	53.03	52.73
52.80	52.87	55.25	52.97	52.68
52.74	52.78	55.02	52.88	52.53
52.74	52.70	54.97	52.84	52.45
52.61	52.65	54.92	52.80	52.40
52.50	52.65	54.89	52.70	52.33
52.47	52.64	54.88	52.67	52.30
52.40	52.63	54.86	52.59	52.25
52.40	52.58	54.81	52.58	52.21
52.35	52.57	54.73	52.44	52.17
52.32	52.46	54.71	52.40	52.12
52.10	52.40	54.69	52.22	51.99
52.08	52.35	54.66	52.06	51.95
51.98	52.32	54.59	52.05	51.78
51.86	52.31	54.56	51.94	51.70
51.65	52.23	54.53	51.93	51.57
51.63	52.16	54.52	51.90	51.52
51.62	52.13	54.48	51.89	51.44
51.54	52.11	54.42	51.87	51.38
51.52	52.09	54.41	51.75	51.35
51.46	52.09	54.22	51.73	51.31
51.30	52.00	54.16	51.72	51.18
51.23	51.77	54.03	51.66	51.12
51.21	51.74	54.01	51.53	51.09
51.14	51.68	53.86	51.40	51.00
51.12	51.57	53.86	51.38	50.96
51.00	51.37	53.86	51.33	50.88
50.92	51.29	53.86	51.18	50.84
50.87	51.29	53.85	51.05	50.76
50.83	51.22	53.70	51.01	50.68
50.78	51.22	53.62	50.99	50.65
50.76	51.06	53.59	50.98	50.63
50.64	51.02	53.57	50.86	50.54
50.52	50.93	53.55	50.85	50.46
50.49	50.85	53.54	50.85	50.43
50.48	50.79	53.50	50.81	50.38
50.29	50.76	53.46	50.80	50.27
50.28	50.66	53.44	50.75	50.26
50.23	50.49	53.42	50.72	50.23
50.19	50.40	53.40	50.71	50.18
