3:36.340	3:38.350	3:37.740	3:35.990	3:37.255
3:36.500	3:39.050	3:38.050	3:38.210	3:38.500
3:39.160	3:39.430	3:38.820	3:40.240	3:39.505
3:40.000	3:39.531	3:39.230	3:40.410	3:40.035
3:40.060	3:39.650	3:39.970	3:40.850	3:40.455
3:40.160	3:39.760	3:40.110	3:40.870	3:40.540
3:40.210	3:39.931	3:40.110	3:41.040	3:40.735
3:41.450	3:40.310	3:40.150	3:41.110	3:41.280
3:41.540	3:40.370	3:40.310	3:41.220	3:41.380
3:41.920	3:40.620	3:40.460	3:41.330	3:41.625
3:41.940	3:41.270	3:40.490	3:41.450	3:41.695
3:42.100	3:41.600	3:40.670	3:41.680	3:41.890
3:42.180	3:41.610	3:40.690	3:41.690	3:41.910
3:42.330	3:41.850	3:40.740	3:41.750	3:42.000
3:42.440	3:42.010	3:40.950	3:41.760	3:42.100
3:42.530	3:42.170	3:40.990	3:41.870	3:42.185
3:42.550	3:42.260	3:41.670	3:42.150	3:42.250
3:42.620	3:42.300	3:41.770	3:42.340	3:42.395
3:42.670	3:42.310	3:41.850	3:42.370	3:42.581
3:42.671	3:42.380	3:41.880	3:42.420	3:42.700
3:42.711	3:42.480	3:41.920	3:42.460	3:42.736
3:42.800	3:42.560	3:42.090	3:42.520	3:42.790
3:42.800	3:42.680	3:42.140	3:42.600	3:42.815
3:43.270	3:42.720	3:42.220	3:42.710	3:43.140
3:43.380	3:42.720	3:42.231	3:42.810	3:43.220
3:43.390	3:42.800	3:42.290	3:42.860	3:43.370
3:43.440	3:42.921	3:42.300	3:42.860	3:43.475
3:43.511	3:43.000	3:42.350	3:42.950	3:43.536
3:43.550	3:43.120	3:42.390	3:42.951	3:43.555
3:43.670	3:43.170	3:42.470	3:43.010	3:43.675
3:43.970	3:43.200	3:42.560	3:43.080	3:43.960
3:44.110	3:43.220	3:42.640	3:43.220	3:44.055
3:44.161	3:43.230	3:42.650	3:43.260	3:44.171
3:44.190	3:43.310	3:42.670	3:43.260	3:44.190
3:44.430	3:43.340	3:42.680	3:43.310	3:44.310
3:44.510	3:43.430	3:42.691	3:43.450	3:44.365
3:44.590	3:43.480	3:42.700	3:43.480	3:44.410
3:44.670	3:43.630	3:42.760	3:43.670	3:44.460
3:44.730	3:43.660	3:42.850	3:43.890	3:44.555
3:44.820	3:43.710	3:42.950	3:44.090	3:44.600
3:45.020	3:43.860	3:42.981	3:44.131	3:44.761
3:45.040	3:43.870	3:42.990	3:44.131	3:44.785
3:45.040	3:43.900	3:43.000	3:44.131	3:44.815
3:45.040	3:43.901	3:43.030	3:44.360	3:44.900
3:45.090	3:44.010	3:43.070	3:44.441	3:44.935
3:45.120	3:44.010	3:43.190	3:44.561	3:44.956
3:45.251	3:44.100	3:43.251	3:44.670	3:45.020
3:45.250	3:44.130	3:43.380	3:45.151	3:45.201
3:45.270	3:44.270	3:43.411	3:45.260	3:45.265
3:45.300	3:44.300	3:43.460	3:45.270	3:45.285
3:45.320	3:44.310	3:43.480	3:45.350	3:45.335
3:45.330	3:44.350	3:43.530	3:45.480	3:45.405
3:45.430	3:44.390	3:43.580	3:45.490	3:45.460
3:45.430	3:44.500	3:43.610	3:45.510	3:45.470
3:45.581	3:44.531	3:43.640	3:45.590	3:45.585
3:45.590	3:44.550	3:43.650	3:45.620	3:45.605
3:45.610	3:44.560	3:43.680	3:45.650	3:45.630
3:45.650	3:44.610	3:43.700	3:45.660	3:45.655
3:45.730	3:44.610	3:43.760	3:45.671	3:45.700
3:45.740	3:44.610	3:43.800	3:45.690	3:45.715
3:45.850	3:44.630	3:43.820	3:45.970	3:45.910
3:45.861	3:44.670	3:43.880	3:45.990	3:45.925
3:45.980	3:44.780	3:43.890	3:46.080	3:46.030
3:46.031	3:44.810	3:43.910	3:46.080	3:46.055
3:46.110	3:44.870	3:43.970	3:46.170	3:46.150
3:46.160	3:44.880	3:44.020	3:46.180	3:46.195
3:46.240	3:44.910	3:44.030	3:46.290	3:46.265
3:46.291	3:44.920	3:44.040	3:46.290	3:46.291
3:46.341	3:44.950	3:44.071	3:46.360	3:46.351
3:46.421	3:44.950	3:44.100	3:46.360	3:46.400
3:46.500	3:45.020	3:44.120	3:46.390	3:46.470
3:46.510	3:45.130	3:44.160	3:46.470	3:46.505
3:46.520	3:45.130	3:44.200	3:46.470	3:46.520
3:46.710	3:45.130	3:44.210	3:46.521	3:46.620
3:46.770	3:45.230	3:44.220	3:46.600	3:46.685
3:46.780	3:45.240	3:44.221	3:46.680	3:46.730
3:46.781	3:45.341	3:44.251	3:46.730	3:46.755
3:46.820	3:45.350	3:44.320	3:46.850	3:46.825
3:46.850	3:45.390	3:44.330	3:46.900	3:46.855
3:46.861	3:45.501	3:44.330	3:46.910	3:46.861
3:46.870	3:45.510	3:44.340	3:46.910	3:46.870
3:46.960	3:45.820	3:44.350	3:46.940	3:46.920
3:46.980	3:45.850	3:44.390	3:46.980	3:46.955
3:47.000	3:45.900	3:44.390	3:46.990	3:46.965
3:47.010	3:45.980	3:44.450	3:47.040	3:47.015
3:47.040	3:46.100	3:44.480	3:47.050	3:47.035
3:47.050	3:46.130	3:44.500	3:47.100	3:47.045
3:47.070	3:46.130	3:44.510	3:47.210	3:47.080
3:47.090	3:46.230	3:44.520	3:47.240	3:47.145
3:47.090	3:46.330	3:44.550	3:47.330	3:47.165
3:47.320	3:46.350	3:44.570	3:47.360	3:47.285
3:47.390	3:46.370	3:44.600	3:47.370	3:47.340
3:47.420	3:46.380	3:44.640	3:47.421	3:47.375
3:47.440	3:46.430	3:44.660	3:47.440	3:47.395
3:47.480	3:46.480	3:44.670	3:47.520	3:47.500
