21.39	21.11	20.62	21.31	21.10
20.33	19.82	20.37	20.19	19.92
20.06	19.70	20.21	19.74	19.72
19.86	19.61	20.21	19.65	19.63
19.67	19.43	19.96	19.63	19.53
19.62	19.41	19.92	19.62	19.42
19.27	19.37	19.88	19.47	19.25
19.25	19.27	19.85	19.42	19.03
19.24	19.17	19.54	19.07	18.91
19.11	19.10	19.53	19.03	18.83
18.90	19.05	19.53	19.02	18.76
18.90	18.97	19.42	18.88	18.70
18.86	18.96	19.42	18.84	18.64
18.77	18.83	19.36	18.81	18.58
18.68	18.79	19.30	18.78	18.51
18.57	18.67	19.25	18.76	18.45
18.53	18.65	19.17	18.71	18.43
18.49	18.65	19.11	18.58	18.39
18.43	18.65	19.05	18.52	18.27
18.36	18.64	19.02	18.52	18.23
18.21	18.61	19.01	18.51	18.12
18.09	18.55	18.90	18.43	18.05
17.96	18.51	18.89	18.39	17.96
17.88	18.48	18.89	18.37	17.93
17.87	18.46	18.88	18.34	17.91
17.79	18.44	18.84	18.29	17.86
17.77	18.44	18.82	18.20	17.78
17.74	18.38	18.79	18.20	17.76
17.72	18.30	18.76	18.19	17.73
17.69	18.22	18.72	18.18	17.68
17.68	18.17	18.72	18.15	17.67
17.67	18.12	18.70	18.11	17.62
17.64	18.11	18.65	18.08	17.60
17.64	18.09	18.64	18.07	17.60
17.56	18.06	18.64	18.05	17.55
17.55	17.95	18.62	18.05	17.54
17.55	17.95	18.62	18.03	17.54
17.52	17.82	18.59	18.01	17.48
17.52	17.82	18.59	17.95	17.47
17.50	17.70	18.55	17.93	17.44
17.49	17.67	18.52	17.89	17.44
17.47	17.50	18.39	17.88	17.42
17.43	17.39	18.38	17.84	17.37
17.39	17.39	18.38	17.81	17.37
17.33	17.38	18.34	17.76	17.28
17.33	17.36	18.32	17.74	17.26
17.33	17.35	18.30	17.72	17.25
17.29	17.31	18.30	17.68	17.22
17.28	17.30	18.28	17.63	17.19
17.23	17.25	18.28	17.62	17.16
17.21	17.25	18.28	17.58	17.15
17.19	17.19	18.27	17.55	17.12
17.14	17.18	18.23	17.54	17.09
17.12	17.16	18.22	17.51	17.08
17.05	17.16	18.12	17.49	17.03
16.99	17.16	18.05	17.49	16.98
16.97	17.09	18.02	17.47	16.97
16.92	17.07	17.96	17.38	16.91
16.89	17.06	17.94	17.36	16.90
16.87	17.01	17.94	17.35	16.89
16.86	17.01	17.93	17.34	16.87
16.81	16.99	17.93	17.32	16.82
16.77	16.98	17.91	17.31	16.80
16.72	16.96	17.83	17.29	16.79
16.66	16.95	17.82	17.27	16.77
16.60	16.95	17.82	17.23	16.73
16.59	16.93	17.82	17.19	16.72
16.56	16.93	17.81	17.14	16.70
16.54	16.90	17.77	17.12	16.69
16.48	16.85	17.73	17.12	16.63
16.46	16.78	17.72	17.10	16.59
16.45	16.76	17.71	17.05	16.58
16.41	16.75	17.70	16.93	16.58
16.41	16.74	17.65	16.87	16.55
16.40	16.73	17.63	16.81	16.52
16.40	16.73	17.62	16.79	16.52
16.35	16.71	17.61	16.76	16.49
16.32	16.71	17.60	16.76	16.48
16.30	16.70	17.60	16.75	16.45
16.29	16.70	17.59	16.73	16.44
16.28	16.69	17.56	16.72	16.42
16.28	16.59	17.56	16.72	16.39
16.26	16.57	17.55	16.71	16.36
16.26	16.56	17.54	16.70	16.34
16.26	16.54	17.54	16.68	16.33
16.22	16.54	17.51	16.67	16.33
16.22	16.40	17.51	16.64	16.33
16.18	16.40	17.50	16.62	16.32
16.18	16.38	17.49	16.59	16.31
16.14	16.37	17.47	16.56	16.29
16.13	16.37	17.45	16.55	16.27
16.11	16.33	17.42	16.52	16.23
16.11	16.31	17.41	16.50	16.22
16.11	16.31	17.40	16.48	16.20
16.08	16.17	17.39	16.48	16.18
