27:36.790	27:54.250	27:52.700	28:07.970	27:52.540
27:41.730	28:30.330	28:36.200	28:11.800	28:20.830
28:36.640	28:33.480	28:44.180	28:45.360	28:35.675
28:37.360	28:35.760	28:47.480	28:45.830	28:36.755
28:41.230	28:36.530	28:48.790	28:46.480	28:41.970
28:42.350	28:43.180	28:52.720	28:46.830	28:43.260
28:42.560	28:45.840	28:53.700	28:47.860	28:45.875
28:43.700	28:50.410	28:54.420	28:48.020	28:47.855
28:44.650	28:50.440	28:55.840	28:48.380	28:48.410
28:44.720	28:51.560	28:57.270	28:54.860	28:52.550
28:45.600	28:52.570	28:58.430	28:56.240	28:53.630
28:50.430	28:52.700	28:58.570	28:58.740	28:54.230
28:51.550	28:53.120	29:01.340	29:00.590	28:55.630
28:51.880	28:59.370	29:01.620	29:04.650	28:59.540
28:51.970	28:59.620	29:03.790	29:05.170	28:59.845
28:51.980	29:02.130	29:04.110	29:05.500	29:02.900
28:52.390	29:04.060	29:04.600	29:13.140	29:04.695
28:57.050	29:04.080	29:04.920	29:13.210	29:06.605
28:59.630	29:06.820	29:05.340	29:15.440	29:07.975
29:00.130	29:07.750	29:05.980	29:19.420	29:09.990
29:02.150	29:08.930	29:06.850	29:19.870	29:11.040
29:02.770	29:09.390	29:06.900	29:20.520	29:11.350
29:04.950	29:09.880	29:07.230	29:20.880	29:11.430
29:06.100	29:10.380	29:09.150	29:21.260	29:12.805
29:06.600	29:10.720	29:09.280	29:21.430	29:13.440
29:06.650	29:11.200	29:09.860	29:22.870	29:15.135
29:08.240	29:11.440	29:10.190	29:22.900	29:16.910
29:11.040	29:13.870	29:10.830	29:24.180	29:17.790
29:12.460	29:14.790	29:10.990	29:24.800	29:20.105
29:13.070	29:15.430	29:11.000	29:25.070	29:21.320
29:15.510	29:16.740	29:11.870	29:25.700	29:22.590
29:16.710	29:18.560	29:11.990	29:26.070	29:23.130
29:17.410	29:19.550	29:13.670	29:27.480	29:24.795
29:18.040	29:21.390	29:13.720	29:27.780	29:25.475
29:18.040	29:23.210	29:13.920	29:27.910	29:26.060
29:19.230	29:25.640	29:14.070	29:29.170	29:27.405
29:19.380	29:28.100	29:14.360	29:30.070	29:28.810
29:22.100	29:28.110	29:14.730	29:30.770	29:29.440
29:23.260	29:31.030	29:15.020	29:32.380	29:31.235
29:26.250	29:33.710	29:15.670	29:33.470	29:32.575
29:28.210	29:34.180	29:15.860	29:33.950	29:33.280
29:28.300	29:34.280	29:15.940	29:34.930	29:33.635
29:28.780	29:35.990	29:16.130	29:35.060	29:34.240
29:30.440	29:36.750	29:16.200	29:35.930	29:34.795
29:31.550	29:41.840	29:16.730	29:36.260	29:34.960
29:32.420	29:43.410	29:18.740	29:36.620	29:35.580
29:33.510	29:44.520	29:18.790	29:38.620	29:37.330
29:33.580	29:45.170	29:19.450	29:38.750	29:39.380
29:33.690	29:45.340	29:19.550	29:39.140	29:39.610
29:35.090	29:46.740	29:19.630	29:39.730	29:40.035
29:35.520	29:47.650	29:19.840	29:39.950	29:40.210
29:35.670	29:49.780	29:20.210	29:41.100	29:42.020
29:37.090	29:49.830	29:20.970	29:41.120	29:43.265
